Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Uzbekistan,UZB,..,..,6.39522981643677,5.74190998077393,5.71323013305664,5.49444007873535,5.38089990615845,5.03282022476196,5.90000009536743,7.00186014175415,4.92279005050659,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Vanuatu,VUT,..,7.0036301612854,..,..,5.18195009231567,5.60338020324707,..,4.53353023529053,..,1.7778799533844,2.24232006072998,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Venezuela, RB",VEN,2.44671010971069,..,..,..,..,1.93017995357513,1.19023001194,1.34407997131348,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Vietnam,VNM,..,..,5.53328990936279,5.65199995040894,4.43837976455688,4.46576023101807,4.34481000900269,4.08553981781006,4.16744995117188,4.06197023391724,4.11161661148071,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,West Bank and Gaza,PSE,..,..,4.74210977554321,4.89467000961304,..,4.66321992874146,4.98296022415161,4.72153997421265,5.31887006759644,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Yemen, Rep.",YEM,..,9.64552021026611,5.46478986740112,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Zambia,ZMB,..,1.78819000720978,4.19999980926514,4.30000019073486,5.19999980926514,4.62433004379272,3.74792003631592,3.72964000701904,4.73974990844727,4.46517992019653,3.70239996910095,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Zimbabwe,ZWE,12.4542598724365,..,6.07020998001099,5.99597978591919,6.13835000991821,5.81278991699219,5.47262001037598,5.81877994537354,3.86611008644104,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Africa Eastern and Southern,AFE,..,3.76910996437073,4.67736506462097,4.7449197769165,4.83983993530273,4.81508517265319,4.82187509536743,4.86255502700805,4.83458995819092,4.60008430480957,4.60817003250122,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Africa Western and Central,AFW,..,2.5650200843811,2.80563497543335,2.94020998477936,2.66667008399963,3.05729007720947,2.78058004379273,3.43021988868713,3.0132200717926,3.02303993701935,3.17388510704041,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Arab World,ARB,..,..,3.62872004508972,3.97692012786866,3.79999995231628,3.9308500289917,4.38000011444091,3.74855995178223,4.417484998703,2.98847007751465,3.67000007629395,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Caribbean small states,CSS,4.21664500236511,3.86956000328064,5.33114504814148,5.68494009971618,5.67390012741089,4.42121005058288,4.63426005840302,4.41783499717712,4.35892486572265,4.43086504936218,4.86062002182006,6.02747011184692
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Central Europe and the Baltics,CEB,..,4.86840009689331,4.71772003173828,4.50039005279541,4.48657989501953,4.80993986129761,4.63339996337891,4.07527017593384,4.24356985092163,4.29046010971069,5.13499999046326,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Early-demographic dividend,EAR,..,3.82709002494812,3.94276511669159,4.2336699962616,4.14103507995605,3.95009005069732,4.05000019073486,3.93130993843079,3.90731000900269,3.66319990158081,4.10247921943665,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,East Asia & Pacific,EAS,..,..,3.62216913700103,3.79235923290253,3.64959502220154,3.82487010955811,3.76761746406555,3.5663857460022,3.43450498580933,3.44789576530456,3.65240526199341,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,East Asia & Pacific (excluding high income),EAP,..,4.20893001556396,3.59691834449768,3.82439851760864,3.72663998603821,3.82487010955811,3.76761746406555,3.5663857460022,3.3705450296402,3.18820583820343,3.5699999332428,..
